NOME_NEGOCIO,SETOR_ATIVIDADE,BAIRRO,CODIGO_CNAE,CIDADE
4,,17,0000011,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,"ALUGUEL DE MÓVEIS, UTENSÍLIOS E APARELHOS DE USO DOMÉSTICO E PESSOAL; INSTRUMENTOS MUSICAIS",SATELITE,7729202,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,COMÉRCIO ATACADISTA DE RESÍDUOS E SUCATAS METÁLICOS,BARREIRA,4687703,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,ATIVIDADES PAISAGÍSTICAS,SAO JUDAS TADEU,8130300,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,ATIVIDADES DE PROFISSIONAIS DA NUTRIÇÃO,ROCHEDO,8650002,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,SERVIÇOS DOMÉSTICOS,QUINTAS DO SOL,9700500,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,PADARIA E CONFEITARIA COM PREDOMINÂNCIA DE REVENDA,GIGANTE,4721102,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,OBRAS DE ALVENARIA,ROCHEDO,4399103,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,COMÉRCIO VAREJISTA DE BEBIDAS,ARCADIA,4723700,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,"TRANSPORTE RODOVIÁRIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANÇAS, MUNICIPAL.",CACHOEIRA,4930201,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,"CONFECÇÃO, SOB MEDIDA, DE PEÇAS DO VESTUÁRIO, EXCETO ROUPAS ÍNTIMAS",QUELUZ,1412602,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,"TRANSPORTE RODOVIÁRIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANÇAS, MUNICIPAL.",SIDERURGICO,4930201,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,"COMÉRCIO VAREJISTA DE SUVENIRES, BIJUTERIAS E ARTESANATOS",BOM PASTOR,4789001,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,PREPARAÇÃO DE DOCUMENTOS E SERVIÇOS ESPECIALIZADOS DE APOIO ADMINISTRATIVO NÃO ESPECIFICADOS ANTERIORMENTE,QUELUZ,8219999,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,COMERCIO VAREJISTA DE ARTIGOS DE ARMARINHO,ANGELICA,4755502,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,"COMÉRCIO VAREJISTA DE DOCES, BALAS, BOMBONS E SEMELHANTES",JK,4721104,CONSELHEIRO LAFAIETE
GERA MECANICA,SERVIÇOS DE MANUTENÇÃO E REPARAÇÃO MECÂNICA DE VEÍCULOS AUTOMOTORES,SANTA CRUZ,4520001,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,"CONFECÇÃO, SOB MEDIDA, DE PEÇAS DO VESTUÁRIO, EXCETO ROUPAS ÍNTIMAS",ARCADIA,1412602,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,OBRAS DE ALVENARIA,JARDIM AMERICA,4399103,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,COMÉRCIO VAREJISTA DE CALÇADOS,ARCADIA,4782201,CONSELHEIRO LAFAIETE
